Car.PitchAcc,Car.PitchVel,Car.RollAcc,Car.RollVel,Car.YawAcc,Car.YawVel,Car.ax,Car.ay,Car.az,Car.v,Car.vx,Car.vy,Car.vz,Time
rad/s^2,rad/s,rad/s^2,rad/s,rad/s^2,rad/s,m/s^2,m/s^2,m/s^2,m/s,m/s,m/s,m/s,s
-1.79E-05,-3.94E-08,0.012653288,2.75E-05,-2.50E-05,-6.51E-08,0.000121221,-0.001465012,-1.84E-05,4.00E-07,1.45E-07,-3.73E-07,-5.57E-09,0.001
3.25E-06,-4.65E-08,-0.005487357,4.77E-05,3.78E-05,2.69E-07,-3.57E-05,-0.000792185,-4.12E-05,2.58E-06,2.81E-07,-2.51E-06,-5.36E-07,0.011
-2.90E-07,-5.77E-08,-0.011937249,-5.49E-05,3.61E-06,4.52E-07,2.29E-06,0.000241222,-5.25E-05,2.47E-06,2.20E-07,-2.36E-06,-7.07E-07,0.021
1.34E-06,-4.21E-08,-0.006244052,-0.000150779,-8.49E-05,2.03E-08,7.67E-06,0.001211135,-0.000125442,2.55E-06,2.10E-07,1.94E-06,-1.65E-06,0.031
2.10E-06,-2.94E-08,0.007594572,-0.000139767,-0.000120805,-1.10E-06,5.45E-06,0.001483272,-8.70E-05,1.00E-05,3.22E-07,9.62E-06,-2.82E-06,0.041
3.84E-06,4.74E-09,0.016294584,-3.44E-06,-4.96E-05,-2.02E-06,-8.28E-06,0.000193188,3.10E-05,1.56E-05,3.02E-07,1.53E-05,-3.18E-06,0.051
5.50E-06,6.18E-08,0.002928185,9.15E-05,7.02E-05,-1.79E-06,-2.55E-06,-0.001047373,-6.25E-05,1.56E-05,2.11E-07,1.52E-05,-3.49E-06,0.061
2.84E-06,9.79E-08,-0.008019147,5.34E-05,0.00011114,-7.79E-07,8.88E-06,-0.000793468,2.10E-06,1.17E-05,2.67E-07,1.11E-05,-3.87E-06,0.071
8.91E-06,1.67E-07,-0.008453079,-3.70E-05,5.49E-05,6.77E-08,-7.00E-06,-4.35E-05,-1.03E-05,8.19E-06,2.78E-07,7.30E-06,-3.71E-06,0.081
4.36E-06,2.32E-07,-0.000634864,-8.47E-05,-2.09E-05,1.88E-07,6.32E-06,0.0006654,-2.60E-05,7.98E-06,2.53E-07,6.93E-06,-3.95E-06,0.091
3.04E-06,2.64E-07,0.009575147,-3.16E-05,-3.70E-05,-1.83E-07,1.76E-06,0.000433907,4.34E-05,9.23E-06,3.20E-07,8.33E-06,-3.95E-06,0.101
7.71E-06,3.34E-07,0.008139019,7.14E-05,2.56E-05,-2.54E-07,-6.42E-06,-0.000742827,-1.58E-05,8.35E-06,2.77E-07,7.50E-06,-3.65E-06,0.111
3.71E-06,3.89E-07,-0.002452918,9.39E-05,7.70E-05,3.29E-07,8.07E-06,-0.000992374,-7.00E-06,5.21E-06,2.83E-07,3.50E-06,-3.85E-06,0.121
4.04E-06,4.24E-07,-0.007599654,3.39E-05,5.98E-05,1.07E-06,-3.09E-06,-0.000446123,5.66E-05,3.90E-06,3.29E-07,-1.37E-06,-3.64E-06,0.131
5.23E-06,4.77E-07,-0.0049586,-3.24E-05,-3.27E-06,1.33E-06,-7.13E-06,0.000220546,3.51E-05,5.01E-06,2.59E-07,-3.96E-06,-3.05E-06,0.141
1.52E-06,5.09E-07,0.002866734,-4.11E-05,-5.18E-05,9.90E-07,4.73E-06,0.000543408,4.22E-05,4.47E-06,2.44E-07,-3.53E-06,-2.73E-06,0.151
4.15E-06,5.32E-07,0.008182434,2.30E-05,-3.65E-05,5.02E-07,-2.78E-06,3.30E-05,4.50E-05,3.42E-06,2.72E-07,-2.67E-06,-2.12E-06,0.161
1.08E-06,5.61E-07,0.002511296,8.10E-05,1.92E-05,4.49E-07,1.91E-06,-0.000654672,4.09E-06,4.38E-06,2.43E-07,-3.93E-06,-1.93E-06,0.171
-1.60E-06,5.53E-07,-0.004568111,6.41E-05,4.14E-05,8.04E-07,2.57E-06,-0.000547607,3.69E-05,7.11E-06,2.85E-07,-6.88E-06,-1.77E-06,0.181
-1.12E-06,5.39E-07,-0.005706247,6.58E-06,1.04E-05,1.08E-06,-7.14E-06,-3.15E-05,7.97E-05,9.35E-06,2.60E-07,-9.27E-06,-1.19E-06,0.191
-2.36E-06,5.25E-07,-0.001806328,-3.32E-05,-3.60E-05,9.28E-07,-2.61E-06,0.000439096,4.23E-05,9.28E-06,1.95E-07,-9.26E-06,-5.90E-07,0.201
-5.30E-06,4.84E-07,0.004264358,-1.63E-05,-5.14E-05,4.40E-07,2.80E-06,0.000416371,6.50E-05,7.49E-06,2.05E-07,-7.49E-06,-1.00E-07,0.211
-3.51E-06,4.50E-07,0.005077163,3.89E-05,-1.86E-05,7.06E-08,-3.16E-06,-0.000201355,2.65E-05,6.39E-06,2.00E-07,-6.37E-06,4.46E-07,0.221
-6.91E-06,3.96E-07,-0.00070089,5.90E-05,1.94E-05,1.15E-07,3.38E-06,-0.000437774,2.06E-05,7.03E-06,1.96E-07,-6.99E-06,6.42E-07,0.231
-7.68E-06,3.20E-07,-0.004664254,2.61E-05,2.11E-05,3.58E-07,-2.25E-06,-0.000170677,5.21E-05,8.39E-06,2.13E-07,-8.33E-06,9.83E-07,0.241
